Deployment_id,Longitude,Latitude,o1,o2,o3,o4,o5,d1,d2,d3,d4,d5,p1,p2,p3,p4,p5,e1,e2,e3,e4,e5
PU_Oct-Dec2017_CT-PU-02-33,-76.33997,1.74228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,6.5,5
PU_Oct-Dec2017_CT-PU-01-34,-76.34883,1.78808,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,6
PU_Oct-Dec2017_CT-PU-02-34,-76.34394,1.74217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,6.5,7
PU_Oct-Dec2017_CT-PU-01-09,-76.35872,1.78789,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9.5,10,10,1,1
ECU-014-D0024,-77.9804191773474,-1.0525397281862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0009,-78.0189902713523,-1.2089614701523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,4.5,1
ECU-014-D0021,-77.9424851270214,-1.1167897575089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,8.5,1,1
ECU-014-D0023,-77.9727818258107,-1.06332580558956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0027,-77.8946003725238,-0.922706258048023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0001,-78.2147070701149,-1.32382617655263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,5.5,1
ECU-014-D0003,-78.1883811038078,-1.32510651940707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,4.5,1
ECU-014-D0029,-77.9410412698588,-1.1091112152986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0017,-77.9998909123242,-1.1279705632478,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0013,-77.981217180771,-1.07961674683774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0007,-77.9875792630313,-1.27182808866345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,5.5,1
ECU-014-D0020,-77.9610499795844,-1.12726076064038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0026,-77.8864838426113,-0.920390716176324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0011,-77.9562296034819,-1.09107081249989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0012,-77.9680313268018,-1.1071234644092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0005,-77.9955183892026,-1.29052996391793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,5.5,1
ECU-014-D0025,-77.9107065676459,-0.947766657387788,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0028,-77.8817085158684,-0.909325777484266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0015,-77.9995612951284,-1.09488547264585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0019,-77.9813287452677,-1.12849577769512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0002,-78.2097974546496,-1.33837838401629,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,5.5,1
ECU-014-D0004,-78.191538196402,-1.32799271767792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.5,1,1,1
ECU-014-D0006,-77.9947157671458,-1.29503026693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,5.5,1
ECU-014-D0018,-77.9930702068213,-1.12027997553829,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0022,-77.8907032080035,-0.909752246975156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,8.5,1,1
ECU-014-D0010,-78.0095726507915,-1.21832021032184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,4.5,1
ECU-014-D0014,-77.9881539347166,-1.08699140541256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-014-D0008,-77.9927923201012,-1.26977109234628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,5.5,1
ECU-014-D0016,-78.0118318554014,-1.10131074674428,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-015-D0001,-78.2640739988982,-1.13652853554363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,3.5
ECU-015-D0002,-78.2590777434004,-1.13165289357112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
ECU-015-D0003,-78.2691985205172,-1.14819107592961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,9.5
ECU-015-D0004,-78.2590508315787,-1.15994729351332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
ECU-015-D0005,-78.2671770823362,-1.13055808525043,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.5,10,10,10,5.5
ECU-015-D0006,-78.2672924450749,-1.16039813060176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,4.5
ECU-015-D0012,-78.2725088930006,-1.14146171799258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,1.5
ECU-015-D0007,-78.2654198195989,-1.14698552863118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,1
ECU-015-D0008,-78.2684450273428,-1.15689292059595,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.5,10,10,10,4.5
ECU-015-D0009,-78.2438335733618,-1.15917332092774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
ECU-015-D0010,-78.2639333071396,-1.15234298071638,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,10,10,10,4.5
ECU-015-D0011,-78.2476112647525,-1.16134584819565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,5.5
ECU-015-D0013,-78.2508511108508,-1.16265936017077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,10,5.5,1,1
ECU-015-D0014,-78.2881301559151,-1.14257008476605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,7.5
